Month,ProductID,Product Name,Size,Gender,Quantity,PrimaryColor,Price,Sale,Profit
1/2022,10017413,Dress,M ,Unisex,2, Black,100 ,150 ,100 
1/2022,10016283,Shoes,S ,Women,3, Beige,214 ,321 ,321 
1/2022,10009781,Dress,XL,Women,7, Pink,123 ,185 ,431 
1/2022,10015921,Shoes,XXL,Men,5,Blue,15 ,23 ,38 
1/2022,10017833,T-shirt,M ,Men,5, White,90 ,135 ,225 
1/2022,10014361,Dress,M ,Men,5, Brown,87 ,131 ,218 
1/2022,10017869,Jeans,S ,Men,5,Blue,22 ,33 ,55 
1/2022,10009695,Sweater,XL,Women,7, Burgundy,34 ,51 ,119 
1/2022,10000571,Sweater,S ,Men,5, Red,55 ,83 ,138 
1/2022,10017421,T-shirt,XL,Unisex,1, Black,91 ,137 ,46 
1/2022,10000911,T-shirt,XL,Women,5,Blue,100 ,150 ,250 
1/2022,10000245,Sweater,S,Men,5, Green,200 ,300 ,500 
1/2022,10001989,Jeans,M ,Men,5,,150 ,225 ,375 
1/2022,10016727,Dress,S,Women,4, Maroon,60 ,90 ,120 
1/2022,10017749,Shoes,M ,Men,5, Red,100 ,150 ,250 
1/2022,1000795,Dress,XXL,Men,6, Navy,100 ,150 ,300 
1/2022,10003803,Dress,XL,Unisex,5, White,100 ,150 ,250 
1/2022,10012765,Jeans,S,Unisex,4,Blue,100 ,150 ,200 
1/2022,10014413,Shoes,S,Men,5, Brown,50 ,75 ,125 
1/2022,10013483,Dress,M ,Women,3, Red,20 ,30 ,30 
1/2022,10001265,Jeans,S ,Women,3,,30 ,45 ,45 
1/2022,10004155,Jeans,XL,Men,5, Black,47 ,71 ,118 
1/2022,10012795,Jeans,XXL,Unisex,4, Red,99 ,149 ,198 
1/2022,10009723,Jeans,M ,Women,7,Blue,99 ,149 ,347 
1/2022,10012853,Sweater,M ,Men,5, Gold,45 ,68 ,113 
1/2022,10006001,Dress,S ,Men,5, Brown,100 ,150 ,250 
1/2022,10017377,T-shirt,XL,Unisex,4, Red,214 ,321 ,428 
1/2022,10015839,Shoes,S ,Men,5,Blue,123 ,185 ,308 
1/2022,10003123,Shoes,XL,Boys,3,Blue,15 ,23 ,23 
1/2022,10012767,Sweater,XL,Unisex,4,,90 ,135 ,180 
1/2022,10013041,Jeans,S,Women,5,Blue,87 ,131 ,218 
1/2022,10014831,T-shirt,M ,Women,3, Pink,22 ,33 ,33 
1/2022,10017831,Jeans,S,Men,5,Blue,34 ,51 ,85 
1/2022,10002713,Jeans,M ,Women,6,Blue,55 ,83 ,165 
1/2022,10006029,Jeans,M ,Men,5, Brown,91 ,137 ,228 
1/2022,10005903,Dress,S ,Men,5,Blue,100 ,150 ,250 
1/2022,10017781,Sweater,XL,Men,5,Blue,200 ,300 ,500 
